"Date","ASB Investment Funds - Balanced Fund","ASB Investment Funds - Conservative Fund","ASB Investment Funds - Conservative Plus Fund","ASB Investment Funds - Global Property Shares Fund","ASB Investment Funds - Growth Fund","ASB Investment Funds - Moderate Fund","ASB Investment Funds - World Fixed Interest Fund","ASB Investment Funds - World Shares Fund","ASB KiwiSaver Scheme - Balanced Fund","ASB KiwiSaver Scheme - Conservative Fund","ASB KiwiSaver Scheme - Growth Fund","ASB KiwiSaver Scheme - Moderate Fund","ASB KiwiSaver Scheme - NZ Cash Fund","ASB Superannuation Master Trust - ASB Australasian Shares Fund","ASB Superannuation Master Trust - ASB Balanced Fund","ASB Superannuation Master Trust - ASB Global Property Shares Fund","ASB Superannuation Master Trust - ASB Growth Fund","ASB Superannuation Master Trust - ASB Moderate Fund","ASB Superannuation Master Trust - ASB NZ Cash Fund","ASB Superannuation Master Trust - ASB NZ Fixed Interest Fund","ASB Superannuation Master Trust - ASB World Fixed Interest Fund","ASB Superannuation Master Trust - ASB World Shares Fund",
2010-01-05,0.906000,1.081100,1.024300,0.649500,0.831600,0.986100,"",0.778300,0.928100,1.091100,0.857000,1.007400,1.138500,1.546900,1.162400,1.079600,1.158600,1.428200,1.509700,1.520900,1.637700,0.690200,
2010-01-06,0.908500,1.082500,1.026000,0.652000,0.834600,0.988100,"",0.782800,0.930700,1.092500,0.860000,1.009400,1.138600,1.549500,1.165700,1.083700,1.162700,1.431000,1.509800,1.523200,1.638200,0.694200,
2010-01-07,0.908400,1.082500,1.025600,0.649600,0.834600,0.987800,"",0.783700,0.930600,1.092500,0.860100,1.009100,1.138700,1.549900,1.165600,1.079700,1.162800,1.430700,1.510000,1.524100,1.636600,0.695000,
2010-01-08,0.910100,1.083400,1.026800,0.651200,0.836400,0.989200,"",0.784100,0.932300,1.093500,0.862000,1.010500,1.138800,1.559500,1.167700,1.082500,1.165300,1.432700,1.510100,1.524800,1.637100,0.695400,
2010-01-11,0.910900,1.084200,1.027300,0.649800,0.837400,0.989900,"",0.785100,0.933200,1.094300,0.863000,1.011300,1.138900,1.563500,1.168900,1.080300,1.166700,1.433800,1.510300,1.526000,1.637900,0.696400,
2010-01-12,0.908800,1.083800,1.026100,0.644000,0.835100,0.988200,"",0.785500,0.931100,1.093900,0.860700,1.009700,1.139000,1.550700,1.166300,1.070600,1.163600,1.431500,1.510500,1.527000,1.638900,0.696700,
2010-01-13,0.905900,1.083400,1.025100,0.640900,0.831100,0.986600,"",0.780000,0.928200,1.093600,0.856600,1.008000,1.139100,1.542000,1.162600,1.065700,1.158100,1.429200,1.510600,1.529100,1.642000,0.691900,
2010-01-14,0.909900,1.084400,1.027600,0.652000,0.835800,0.989700,"",0.784800,0.932300,1.094600,0.861400,1.011200,1.139200,1.548800,1.167800,1.084000,1.164600,1.433600,1.510700,1.529200,1.640800,0.696200,
2010-01-15,0.908700,1.084500,1.026800,0.645500,0.834500,0.988700,"",0.785500,0.931100,1.094700,0.860200,1.010200,1.139200,1.543300,1.166300,1.073200,1.162900,1.432300,1.510700,1.530500,1.641800,0.696700,
2010-01-18,0.907700,1.084700,1.026900,0.647000,0.832600,0.988600,"",0.780700,0.930100,1.094900,0.858300,1.010100,1.139400,1.543200,1.165100,1.075900,1.160400,1.432100,1.511100,1.532100,1.644700,0.692600,
